main_sound,level,hanja,meaning
가,7급Ⅱ,家,집
가,7급,歌,노래
가,5급Ⅱ,價,값
가,5급,加,더할
가,5급,可,옳을
가,4급Ⅱ,假,거짓
가,4급Ⅱ,街,거리
가,4급,暇,틈
가,3급Ⅱ,佳,아름다울
가,3급Ⅱ,架,시렁
가,2급,柯,가지
가,2급,賈,성(姓)
가,2급,軻,수레
가,2급,迦,부처이름
가,2급,伽,절
가,1급,嘉,아름다울
가,1급,呵,꾸짖을
가,1급,嫁,시집갈
가,1급,稼,심을
가,1급,苛,가혹할
가,1급,袈,가사(袈裟)
가,1급,駕,멍에
가,1급,哥,성(姓)
가,특급Ⅱ,痂,헌데딱지
가,특급Ⅱ,珂,옥이름
가,특급Ⅱ,茄,가지
가,특급Ⅱ,訶,꾸짖을
가,특급Ⅱ,跏,책상다리할
가,특급Ⅱ,枷,칼
가,특급,斝,옥잔
가,특급,葭,갈대
가,특급,檟,가나무
가,특급,哿,가할
가,특급,珈,머리꾸미개
각,6급Ⅱ,各,각각
각,6급Ⅱ,角,뿔
각,4급,刻,새길
각,4급,覺,깨달을
각,3급Ⅱ,脚,다리
각,3급Ⅱ,閣,집
각,3급,却,물리칠
각,2급,珏,쌍옥
각,1급,恪,삼갈
각,1급,殼,껍질
각,특급Ⅱ,慤,정성
각,특급,桷,서까래
각,특급,卻,물리칠
간,7급Ⅱ,間,사이
간,4급,簡,대쪽
간,4급,看,볼
간,4급,干,방패
간,3급Ⅱ,刊,새길
간,3급Ⅱ,幹,줄기
간,3급Ⅱ,懇,간절할
간,3급Ⅱ,肝,간
간,3급,姦,간음할
간,2급,杆,몽둥이
간,2급,艮,괘이름
간,1급,奸,간사할
간,1급,墾,개간할
간,1급,澗,산골물
간,1급,癎,간질
간,1급,竿,낚싯대
간,1급,艱,어려울
간,1급,諫,간할
간,1급,揀,가릴
간,특급Ⅱ,稈,볏짚
간,특급Ⅱ,磵,시내澗
간,특급Ⅱ,桿,막대
간,특급Ⅱ,柬,가릴
간,특급Ⅱ,侃,강직할
간,특급,蕑,난초
간,특급,玕,옥돌
간,특급,榦,줄기
간,특급,瞯,엿볼
간,특급,衎,즐길
갈,3급,渴,목마를
갈,2급,葛,칡
갈,2급,鞨,오랑캐이름
갈,1급,喝,꾸짖을
갈,1급,竭,다할
갈,1급,褐,갈색
갈,특급Ⅱ,碣,비석
갈,특급Ⅱ,曷,어찌
갈,특급Ⅱ,乫,땅이름
갈,특급Ⅱ,蝎,전갈
갈,특급,秸,볏짚
감,6급,感,느낄
감,4급Ⅱ,減,덜
감,4급Ⅱ,監,볼
감,4급,甘,달
감,4급,敢,감히
감,3급Ⅱ,鑑,거울
감,2급,憾,섭섭할
감,1급,堪,견딜
감,1급,柑,귤
감,1급,疳,감질
감,1급,瞰,굽어볼
감,1급,紺,감색
감,1급,勘,헤아릴
감,특급Ⅱ,嵌,끼울
감,특급Ⅱ,坎,구덩이
감,특급Ⅱ,橄,감람나무
감,특급Ⅱ,鑒,거울鑑
감,특급Ⅱ,戡,이길
감,특급Ⅱ,龕,감실
감,특급,矙,엿볼
감,특급,欿,서운할
감,특급,减,덜
감,특급,酣,술즐길
감,특급,歛,바랄
갑,4급,甲,갑옷
갑,2급,鉀,갑옷
갑,2급,岬,곶(串)
갑,1급,匣,갑(匣)
갑,1급,閘,수문
갑,특급Ⅱ,胛,어깻죽지
강,7급Ⅱ,江,강
강,6급,強,강할
강,4급Ⅱ,講,욀
강,4급Ⅱ,康,편안
강,4급,降,내릴
강,3급Ⅱ,剛,굳셀
강,3급Ⅱ,綱,벼리
강,3급Ⅱ,鋼,강철
강,2급,姜,성(姓)
강,2급,崗,언덕
강,2급,疆,지경
강,2급,岡,산등성이
강,2급,彊,굳셀
강,1급,腔,속빌
강,1급,慷,슬플
강,1급,糠,겨
강,1급,薑,생강
강,특급Ⅱ,絳,짙게붉을
강,특급Ⅱ,羌,오랑캐
